idx,claim,origin,URL,truth_value,stated_on,topic
0,"President Joe Biden said, “The idea that we’re going to send in tanks to Ukraine, that’s called World War III.”",Tweets,https://www.politifact.com/factchecks/2023/feb/02/tweets/tweets-distort-bidens-comments-on-tanks-ukraine-an/,meter-false,"January 31, 2023",russia
1,“Joe Biden’s war on American energy caused this crisis and his only response has been to drain our strategic petroleum reserve to its lowest level since 1983.”,Tweets,https://www.politifact.com/factchecks/2023/jan/30/richard-hudson/hudson-inflates-bidens-role-oil-prices/,meter-mostly-false,"January 12, 2023",russia
2,The amount the U.S. has spent in Ukraine is “double the U.S. expenditure for its own war in Afghanistan.”,Tweets,https://www.politifact.com/factchecks/2023/jan/27/instagram-posts/us-spending-afghanistan-dwarfs-aid-ukraine/,meter-false,"January 26, 2023",russia
3,"""Biden drained America's Strategic Petroleum Reserves to the lowest level since 1984.""",Tweets,https://www.politifact.com/factchecks/2023/jan/19/morgan-luttrell/us-emergency-oil-reserve-lowest-level-1983/,meter-true,"January 10, 2023",russia
4,“Joe Biden left Marines behind in Afghanistan. And now he left a Marine behind in Russia.”,Tweets,https://www.politifact.com/factchecks/2023/jan/06/tom-tiffany/tiffany-misses-mark-claim-biden-left-marines-behin/,meter-mostly-false,"December 08, 2022",russia
5,“The Simpsons predicted Pizzagate.”,Viral image,https://www.politifact.com/factchecks/2022/dec/20/viral-image/the-simpsons-didnt-predict-pizzagate/,tom_ruling_pof,"November 16, 2022",russia
6,Russia’s Army was “destroyed.”,Viral image,https://www.politifact.com/factchecks/2022/dec/19/facebook-posts/no-russias-army-wasnt-destroyed/,meter-false,"December 18, 2022",russia
7,The Federal Reserve “has suspended the availability of new currency.”,Viral image,https://www.politifact.com/factchecks/2022/dec/14/facebook-posts/federal-reserve-did-not-discontinue-distributing-p/,meter-false,"December 09, 2022",russia
8,The war in Ukraine is “all over.”,Viral image,https://www.politifact.com/factchecks/2022/dec/13/facebook-posts/no-the-war-in-ukraine-isnt-over/,meter-false,"December 12, 2022",russia
9,"“There may be a new pandemic on the way after the release of a 50,000-year-old zombie virus.”",Viral image,https://www.politifact.com/factchecks/2022/dec/02/instagram-posts/ancient-virus-discovery-will-not-spark-new-pandemi/,meter-false,"November 29, 2022",russia
10,“Gas prices are down back to where they were before Russia invaded Ukraine.”,Joe Biden,https://www.politifact.com/factchecks/2022/nov/30/joe-biden/have-gasoline-prices-fallen-pre-ukraine-war-levels/,meter-true,"November 29, 2022",russia
11,Climate change is “dictated by solar activity and the moon” and has “nothing to do with mankind.”,Joe Biden,https://www.politifact.com/factchecks/2022/nov/29/instagram-posts/no-climate-change-isnt-driven-by-solar-activity-an/,meter-false,"November 13, 2022",russia
12,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.",Joe Biden,https://www.politifact.com/factchecks/2022/nov/28/instagram-posts/photos-war-makeup-ukraine-are-combat-medical-train/,meter-false,"November 27, 2022",russia
13,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,Joe Biden,https://www.politifact.com/factchecks/2022/nov/15/instagram-posts/ftx-helped-with-a-cryptocurrency-fundraising-site/,meter-false,"November 13, 2022",russia
14,"The United States is ""about to run out of diesel fuel ... by the Monday of Thanksgiving week.""",Joe Biden,https://www.politifact.com/factchecks/2022/nov/07/tucker-carlson/tucker-carlson-misrepresents-data-claim-us-will-ru/,meter-false,"October 27, 2022",russia
15,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",Citizens for Sanity,https://www.politifact.com/factchecks/2022/nov/03/citizens-sanity/ad-comparing-spending-ukraine-us-children-ridiculo/,tom_ruling_pof,"November 02, 2022",russia
16,The media reported on “5 TikTok dances you can do to help Ukraine fight Russia.”,Citizens for Sanity,https://www.politifact.com/factchecks/2022/nov/03/viral-image/story-about-tiktok-dances-help-ukraine-satire/,meter-false,"November 03, 2022",russia
17,“We finally achieved that energy independence… under the Trump administration. President Biden squandered (it) away.”,Citizens for Sanity,https://www.politifact.com/factchecks/2022/nov/01/ron-johnson/johnson-misses-claim-us-gained-energy-independence/,meter-mostly-false,"July 14, 2022",russia
18,Police dispatch audio from Paul Pelosi’s attack was recorded in a Moscow studio.,Citizens for Sanity,https://www.politifact.com/factchecks/2022/nov/01/instagram-posts/police-dispatch-audio-pelosi-attack-was-san-franci/,tom_ruling_pof,"November 29, 2022",russia
19,Former President Donald Trump issued an Oct. 27 statement saying he was told his Twitter account “will be back up and running on Monday.”,Citizens for Sanity,https://www.politifact.com/factchecks/2022/oct/28/viral-image/no-this-trump-statement-about-returning-to-twitter/,meter-false,"October 27, 2022",russia
20,The price of gas is “down from over $5 when I took office.”,Joe Biden,https://www.politifact.com/factchecks/2022/oct/28/joe-biden/gas-prices-hit-5-gallon-more-year-after-joe-biden/,meter-false,"October 27, 2022",russia
21,“Ukraine has a nuclear bomb primed in Mykolaiv.”,Joe Biden,https://www.politifact.com/factchecks/2022/oct/27/instagram-posts/no-ukraine-does-not-have-nuclear-bombs-or-dirty-bo/,meter-false,"October 20, 2022",russia
22,Video clips show staged war footage from Ukraine.,Joe Biden,https://www.politifact.com/factchecks/2022/oct/26/viral-image/video-clips-mischaracterized-showing-fake-ukraine/,tom_ruling_pof,"October 22, 2022",russia
23,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,Joe Biden,https://www.politifact.com/factchecks/2022/oct/24/viral-image/no-evidence-cnn-reported-ugandas-president-said-it/,meter-false,"October 22, 2022",russia
24,Volodymyr Zelenskyy was photographed holding a soccer jersey with his name and a swastika.,Joe Biden,https://www.politifact.com/factchecks/2022/oct/21/viral-image/photo-zelenskyy-holding-jersey-swastika-was-altere/,meter-false,"October 19, 2022",russia
25,"Kamala Harris said, “We have to acknowledge gas is high which is the opposite of low.”",Viral image,https://www.politifact.com/factchecks/2022/oct/18/viral-image/no-kamala-harris-didnt-say-this-about-gas-prices/,meter-false,"October 18, 2022",russia
26,"Kid Rock posted “Zelensky just bought his parents an $8,000,000 villa, complete with a salt water pool & 3 brand new vehicles.”",Viral image,https://www.politifact.com/factchecks/2022/oct/17/viral-image/social-media-post-critical-zelenskyy-came-kid-rock/,meter-false,"October 16, 2022",russia
27,North Korea has taken military action against Russia.,Viral image,https://www.politifact.com/factchecks/2022/oct/12/facebook-posts/no-north-korea-did-not-initiate-military-strike-ag/,tom_ruling_pof,"October 08, 2022",russia
28,“Norway readies its military to counter Biden.”,Viral image,https://www.politifact.com/factchecks/2022/oct/07/facebook-posts/norway-sent-its-military-guard-nord-stream-not-cou/,meter-false,"October 05, 2022",russia
29,Antony Blinken “confesses that Biden” is responsible for the Nord Stream pipeline leaks.,Viral image,https://www.politifact.com/factchecks/2022/oct/06/facebook-posts/no-blinken-didnt-say-biden-responsible-nord-stream/,meter-false,"October 04, 2022",russia
30,"""$12 billion more for Ukraine on top of $100+ billion while Jackson, Mississippi has yet to receive any funding to fix their water infrastructure.""",Instagram posts,https://www.politifact.com/factchecks/2022/oct/06/instagram-posts/despite-claims-jackson-mississippi-did-get-funding/,meter-mostly-false,"September 27, 2022",russia
31,"“Iowans are paying $5,000 extra for everyday goods under Biden and Axne’s inflation.”",Instagram posts,https://www.politifact.com/factchecks/2022/oct/05/zach-nunn/iowans-are-paying-5000-more-year-under-inflation-a/,meter-half-true,"September 14, 2022",russia
32,Video shows Rand Paul telling Nancy Pelosi “she’s a traitor.”,Instagram posts,https://www.politifact.com/factchecks/2022/oct/04/facebook-posts/rand-paul-didnt-tell-nancy-pelosi-shes-traitor-vid/,meter-false,"October 03, 2022",russia
33,“I voted with Trump on trade.”,Instagram posts,https://www.politifact.com/factchecks/2022/oct/04/tim-ryan/ohios-tim-ryan-says-he-voted-trump-trade-what-abou/,meter-mostly-true,"September 27, 2022",russia
34,President Joe Biden admitted having an inappropriate relationship with a minor.,Instagram posts,https://www.politifact.com/factchecks/2022/sep/30/facebook-posts/no-biden-did-not-admit-he-had-inappropriate-relati/,meter-false,"September 26, 2022",russia
35,“The Russian army has surrendered in Donetsk!”,Facebook posts,https://www.politifact.com/factchecks/2022/sep/30/facebook-posts/no-proof-russian-troops-have-surrendered-donetsk/,meter-false,"September 28, 2022",russia
36,Vladimir Putin “is fleeing the war!”,Facebook posts,https://www.politifact.com/factchecks/2022/sep/29/facebook-posts/no-evidence-putin-abandoning-war-ukraine/,meter-false,"September 27, 2022",russia
37,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",Facebook posts,https://www.politifact.com/factchecks/2022/sep/29/facebook-posts/north-korean-soldiers-have-not-been-sent-russia-he/,meter-false,"September 28, 2022",russia
38,“President Xi of China under house arrest” amid “coup by the PLA.”,Facebook posts,https://www.politifact.com/factchecks/2022/sep/28/facebook-posts/china-president-xi-jinping-still-power-despite-cou/,meter-false,"September 24, 2022",russia
39,Photo shows fighting in Ukraine.,Facebook posts,https://www.politifact.com/factchecks/2022/sep/22/viral-image/old-photo-military-exercise-used-illustrate-story-/,meter-false,"September 21, 2022",russia
40,“Chinese military convoy enters Ukraine from Russia.”,Facebook posts,https://www.politifact.com/factchecks/2022/sep/22/facebook-posts/no-isnt-video-chinas-army-entering-ukraine/,meter-false,"September 18, 2022",russia
41,“The Simpsons” predicted Queen Elizabeth II’s 2022 death.,Facebook posts,https://www.politifact.com/factchecks/2022/sep/19/viral-image/simpsons-didnt-predict-queens-death/,tom_ruling_pof,"September 15, 2022",russia
42,"""Democrats' radical green energy policies caused record gas prices. """,Facebook posts,https://www.politifact.com/factchecks/2022/sep/16/ron-johnson/green-energy-policies-didnt-cause-record-prices-ga/,meter-mostly-false,"August 23, 2022",russia
43,"“The pope, Xi and Putin all meet to plan world events!”",Facebook posts,https://www.politifact.com/factchecks/2022/sep/15/facebook-posts/no-pope-putin-and-xi-didnt-meet-plan-world-events/,meter-false,"September 13, 2022",russia
44,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",Facebook posts,https://www.politifact.com/factchecks/2022/sep/14/instagram-posts/no-russia-did-not-exit-antarctic-treaty-or-discove/,tom_ruling_pof,"September 12, 2022",russia
45,Russia “has not lost anything” in its invasion of Ukraine.,Vladimir Putin,https://www.politifact.com/factchecks/2022/sep/09/vladimir-putin/despite-putins-claim-russia-has-lost-plenty-ukrain/,meter-false,"September 07, 2022",russia
46,“The Russian army is withdrawing from Ukraine!” in September 2022,Vladimir Putin,https://www.politifact.com/factchecks/2022/sep/08/facebook-posts/no-russia-not-withdrawing-ukraine/,meter-false,"September 03, 2022",russia
47,“The U.S. & Elon Musk reveal new hypersonic jet to help Ukraine.”,Vladimir Putin,https://www.politifact.com/factchecks/2022/sep/07/blog-posting/claim-musk-will-supply-hypersonic-jet-ukrainian-wa/,meter-false,"September 06, 2022",russia
48,Joe Biden threatened to assassinate Ukraine’s former president.,Vladimir Putin,https://www.politifact.com/factchecks/2022/aug/31/facebook-posts/biden-didnt-threaten-kill-former-ukrainian-preside/,tom_ruling_pof,"August 29, 2022",russia
49,"Another continent may exist beneath Antarctica, which is also home to homicidal sea creature of unknown origin",Vladimir Putin,https://www.politifact.com/factchecks/2022/aug/30/facebook-posts/claim-about-hidden-antarctic-continent-and-killer-/,tom_ruling_pof,"August 24, 2022",russia
50,“U.S. is testing new most deadly nuclear bomb from B-1B Lancer.”,Facebook posts,https://www.politifact.com/factchecks/2022/aug/26/facebook-posts/no-united-states-isnt-testing-nuclear-bomb-b-1b-la/,meter-false,"August 17, 2022",russia
51,The government is arming up the IRS because “Joe Biden is raising taxes and disarming Americans.”,Facebook posts,https://www.politifact.com/factchecks/2022/aug/12/matt-gaetz/no-biden-not-arming-irs-guns-and-ammunition/,meter-false,"August 04, 2022",russia
52,Brittney Griner is really a man.,Facebook posts,https://www.politifact.com/factchecks/2022/aug/09/facebook-posts/no-basketball-star-brittney-griner-not-man/,tom_ruling_pof,"August 07, 2022",russia
53,“China threatens to shoot Nancy Pelosi’s plane down if she visits Taiwan.”,Facebook posts,https://www.politifact.com/factchecks/2022/aug/02/instagram-posts/chinese-commentator-not-government-threatened-hous/,meter-false,"July 31, 2022",russia
54,“Virginia now has the most liberal abortion laws in the world.”,Facebook posts,https://www.politifact.com/factchecks/2022/jul/22/dave-larock/no-virginia-does-not-have-most-liberal-abortion-la/,meter-mostly-false,"July 09, 2022",russia
55,“Biden threatens to assassinate Ukraine president.”,Facebook posts,https://www.politifact.com/factchecks/2022/jul/21/facebook-posts/no-biden-didnt-threaten-kill-zelenskyy/,tom_ruling_pof,"July 18, 2022",russia
56,"The cancellation of the Keystone XL pipeline by Joe Biden “killed hundreds of jobs, sent gas prices way up.”",Facebook posts,https://www.politifact.com/factchecks/2022/jul/21/tim-michels/end-keystone-pipeline-did-cost-jobs-most-were-temp/,meter-mostly-false,"June 23, 2022",russia
57,Video shows Ukrainian air defenses in Sievierodonetsk shooting down “55 Ka 52 helicopters.”,Facebook posts,https://www.politifact.com/factchecks/2022/jul/19/viral-image/clip-shows-video-game-not-ukrainian-victory-sievie/,meter-false,"July 17, 2022",russia
58,“Biden admits $5 gas is being done on purpose” and “this has been his plan all along.”,Facebook posts,https://www.politifact.com/factchecks/2022/jul/18/instagram-posts/no-biden-didnt-admit-plotting-make-gasoline-prices/,meter-false,"July 07, 2022",russia
59,“High-ranking Ukrainian officials caught splurging on luxury real estate in Switzerland.”,Facebook posts,https://www.politifact.com/factchecks/2022/jul/13/blog-posting/land-documents-claiming-ukrainian-officials-bought/,meter-false,"June 29, 2022",russia
60,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",Facebook posts,https://www.politifact.com/factchecks/2022/jul/12/facebook-posts/claims-russia-bombed-ukraines-snake-island-after-t/,meter-mostly-false,"July 02, 2022",russia
61,“Belarus declares war on Poland.”,Facebook posts,https://www.politifact.com/factchecks/2022/jul/11/facebook-posts/no-belarus-hasnt-declared-war-poland/,meter-false,"July 08, 2022",russia
62,“Moscow was engulfed in flames” after a giant explosion.,Facebook posts,https://www.politifact.com/factchecks/2022/jul/08/facebook-posts/moscow-wasnt-engulfed-flames/,meter-false,"July 06, 2022",russia
63,Ukrainian “attack destroys skyscraper in Moscow.”,Facebook posts,https://www.politifact.com/factchecks/2022/jul/07/viral-image/no-ukrainian-attack-didnt-destroy-moscow-skyscrape/,meter-false,"July 04, 2022",russia
64,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,Facebook posts,https://www.politifact.com/factchecks/2022/jul/06/viral-image/post-shows-video-game-footage-not-war-ukraine/,meter-false,"July 03, 2022",russia
65,Video claims Moscow turned into “sea of fire after being attacked by two mysterious missiles.”,Facebook posts,https://www.politifact.com/factchecks/2022/jun/30/facebook-posts/no-moscow-was-not-targeted-missile-attack/,tom_ruling_pof,"June 28, 2022",russia
66,"""The impact of President Biden being beholden to the Green New Deal radicals in his party has electricity costs through the roof in Texas.""",Facebook posts,https://www.politifact.com/factchecks/2022/jun/21/ted-cruz/green-new-deal-not-blame-high-electricity-costs/,meter-false,"June 04, 2022",russia
67,Three mass shootings were meant to distract from Hillary Clinton controversies.,Facebook posts,https://www.politifact.com/factchecks/2022/jun/16/ted-nugent/no-these-mass-shootings-werent-plot-protect-hillar/,tom_ruling_pof,"June 14, 2022",russia
68,"The Pentagon ""finally comes clean"" and ""admits...that there are 46 U.S. military-funded biolabs in Ukraine""",Facebook posts,https://www.politifact.com/factchecks/2022/jun/15/blog-posting/pentagon-didnt-admit-there-are-46-us-funded-biolab/,meter-false,"June 12, 2022",russia
