,claim
1000,A video shows migrants faking tears for news cameras.
1001,"After Joe Biden became vice president, at the behest of his father, he gave his uncle, Frank H. Biden, a Purple Heart for serving in the U.S. military during World War II."
1002,"Says he has been to “Afghanistan, Iraq and those areas” twice as president."
1003,Russia’s Army was “destroyed.”
1004,Kari Lake’s lawsuit “exposes Arizona used no signature verification.”
1006,The war in Ukraine is “all over.”
1007,A photo shows a CIA agent impersonating Adolf Hitler.
1008,Says Hitler said Black people are the “true Hebrews.”
1009,"“The revelation of massive & widespread fraud & deception” in the 2020 election “allows for the termination of all rules, regulations, and articles, even those found in the Constitution.”"
1010,Henry Kissinger’s “deathbed confession” shows “Adolf Hitler was buried in Spain” and lived to age 68.
1012,“Disney pushes ‘We love Satan’ in new family Christmas movie.”
1013,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine."
1014,“Republicans want to raise the voting to age 28.”
1015,"""They say the ocean will rise one-eighth of an inch over the next 200 to 300 years."""
1016,“Florida man arrested for using a lost U.S. nuke to power his home for more than 27 years.”
1017,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.
1018,"“Iran sentences 15,000 protesters to death.”"
1019,"The United States is ""about to run out of diesel fuel ... by the Monday of Thanksgiving week."""
1020,"It's not true that ""the United States was built on stolen land."""
1021,"""Over 240,000 'unverified' ballots have already been sent out in Pennsylvania, a total mess. The Democrats are playing games again.”"
1022,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children."""
1024,Rep. Tim Ryan “wanted to decriminalize fentanyl.”
1025,Video shows “military robots ready for war.”
1026,The price of gas is “down from over $5 when I took office.”
1027,“Ukraine has a nuclear bomb primed in Mykolaiv.”
1028,Today’s high food prices were planned during a 2015 food shortage simulation.
1029,Video clips show staged war footage from Ukraine.
1030,Student loan forgiveness is “passed. I got it passed by a vote or two. And it’s in effect.”
1031,A video shows that a “Nuremberg 2.0 crimes against humanity trial starts Jan 2023.”
1032,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”
1033,North Korea has taken military action against Russia.
1035,"""To call what happened on January 6 an armed insurrection, I just think is not accurate."""
1036,“Norway readies its military to counter Biden.”
1038,Video shows Rand Paul telling Nancy Pelosi “she’s a traitor.”
1040,“The Russian army has surrendered in Donetsk!”
1041,“Pelosi’s panel ready to arrest Trump.”
1042,Vladimir Putin “is fleeing the war!”
1043,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”"
1044,Video shows “Italians take down an EU flag and replace it with an Italian flag” after the 2022 national election.
1045,House Democrats kicked Nancy Pelosi from office.
1046,“Joe Biden blamed Elton John for AIDS.”
1047,“Chinese military convoy enters Ukraine from Russia.”
1049,Nancy Pelosi “almost burst out into laughter” at the Tsitsernakaberd Armenian Genocide Memorial Complex in Yerevan.
1050,Photo shows Queen Elizabeth II checking the oil of a car.
1052,"“The pope, Xi and Putin all meet to plan world events!”"
1053,"""Russia is becoming the first country to break ties with the Antarctic Treaty."""
1054,Photo shows Queen Elizabeth II being carried across a river by African porters.
1055,King Charles III signed “a proclamation stating that Donald Trump won the 2020 presidential election and is the rightful president by law.”
1056,Russia “has not lost anything” in its invasion of Ukraine.
1057,“The Russian army is withdrawing from Ukraine!” in September 2022
1058,El Presidente de Rusia Vladimir Putin “anuncia que se arrepiente de invadir Ucrania”.
1059,“U.S. is testing new most deadly nuclear bomb from B-1B Lancer.”
1060,“US Army in Ukraine.”
1061,"Image shows ""Florida's anti-woke banned book list."""
1062,"Video shows Steve Bannon crying, “Trump is going to jail.”"
1064,Rep. Adam Kinzinger “admits Trump won” the 2020 presidential election.
1065,Empty store shelves at a Walmart in South Carolina were because of a meat shortage.
1066,“Ted Cruz leaks new document obtained from Hunter’s laptop implicating Nancy Pelosi.”
1067,“China threatens to shoot Nancy Pelosi’s plane down if she visits Taiwan.”
1069,"""If every person on earth just recycled, stopped using plastic straws, and drove an electric car, 100 corporations would still produce 70% of total global emissions."""
1072,“High-ranking Ukrainian officials caught splurging on luxury real estate in Switzerland.”
1073,There are no artifacts to prove that slave ships existed.
1074,"Sri Lanka’s president, Estonia’s prime minister and Ukrainian diplomats were arrested."
1076,“Belarus declares war on Poland.”
1077,Video shows Joe Biden putting a Medal of Honor on a Vietnam War veteran backward.
1078,“Moscow was engulfed in flames” after a giant explosion.
1079,Ukrainian “attack destroys skyscraper in Moscow.”
1080,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.
1081,The cost of a Fourth of July cookout in 2022 increased by 67.2% because of inflation.
1082,Video claims Moscow turned into “sea of fire after being attacked by two mysterious missiles.”
1084,"""The impact of President Biden being beholden to the Green New Deal radicals in his party has electricity costs through the roof in Texas."""
1085,"Soviet and Chinese communists have “grabbed control” of U.S. entertainment, movies, television, music, academia, K-12 education and the news media."
1087,Video shows Ukrainian soldiers shooting down Russian helicopters.
1088,Biden gave Americans “the cheapest gas prices on Earth.”
1091,Video shows “Russian desert base and infrastructure hit by Bayraktar TB2 drone.”
1093,Monkeypox is biological warfare “against us by our governments.”
1094,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.
1095,Video shows “Russian tank column totally destroyed by attack helicopter.”
1096,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”
1097,“Soldiers destroyed Russian tank with NLAW in ambush.”
1099,A photo of Ukrainians with paintball guns proves the war is staged.
1100,The U.S. government’s inaction over buffalo killing that harmed Native American populations in the 1800s shows it is now “is creating food shortages” so that Americans are more “dependent on the government.”
1101,“The Biden administration is bringing amendments that would propose that all nations of the earth cede their sovereignty over national health care decisions to the WHO.”
1102,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”
1109,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport."""
1110,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.
1111,“Canada’s new law allows government to take children away if parents don’t accept kids’ ‘gender identity.’”
1112,"“Disneyland estates have been used for MK-ULTRA mind control, human trafficking, occult rituals, and parading sexual deviants.”"
1113,“Biden to teachers: ‘They're not somebody else's children. They're yours when you're in the classroom.’”
1114,"Blinken, Austin trip to Kyiv may have been staged"
