simple_sentence,truth_value
"In Ukraine  the theft homicide levels rose due to power outages . In Ukraine  theft homicide levels rose due to power outages . 
",meter-false
"Ukrainians beat two Berlin residents for speaking in russian .
",meter-false
"A quote from Paul Goebbels about the Banderites .
",meter-false
"The “ Culture of good neighborliness ” course for Ukrainian schoolchildren promotes  gender . The “ Culture of good neighborliness ” course for Ukrainian schoolchildren promotes  sexual orientation change . 
",meter-false
"US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine . US research in Ukraine led to an increase in the incidence of an increase in the number of ticks in russia . 
",meter-false
"In Chile  the law on the rights of “ mutants ” has  been approved – Ostap Stakhiv . In Chile  the law on the rights of genetically modified people has  been approved – Ostap Stakhiv . 
",meter-false
"The COVID-19 incidence rate became zero in late May 2022 .
",meter-false
"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS .
",meter-false
"Russia’s Army was “destroyed.” .
",meter-false
"The war in Ukraine is “all over.” .
",meter-false
"“Gas prices are down back to where they were before Russia invaded Ukraine.” .
",meter-true
"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine..
",meter-false
"U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms..
",meter-false
"President Joe Biden `` send a fortune to Ukraine nothing for our children ``. President Joe Biden `` send a fortune to Ukraine . `` President Joe Democrats `` send a fortune to Ukraine nothing for our children ``. President Joe Democrats `` send a fortune to Ukraine . `` .
",meter-false
"“Ukraine has a nuclear bomb primed in Mykolaiv.” .
",meter-false
"Video clips show staged war footage from Ukraine..
",meter-false
"A CNN headline shows Uganda ’ s president saying he doesn ’ t support Ukraine  . ” . A CNN headline shows Uganda ’ s president saying  it would be “ disgusting . ” . 
",meter-false
"North Korea has taken military action against Russia..
",meter-false
"“The Russian army has surrendered in Donetsk!” .
",meter-false
"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!” .
",meter-false
"“Chinese military convoy enters Ukraine from Russia.” .
",meter-false
"""Russia is becoming the first country to break ties with the Antarctic Treaty."".
",meter-false
"Russia “has not lost anything” in its invasion of Ukraine..
",meter-false
"“The Russian army is withdrawing from Ukraine!” in September 2022 .
",meter-false
"“US Army in Ukraine.” .
",meter-false
"“ Putin humiliatingly blows  up all weapons by retreating Russian troops . “ Putin humiliatingly blows  up facilities `` on Snake Island by retreating Russian troops . .
",meter-false
"Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2. .
",meter-false
"Video shows Ukrainian soldiers shooting down Russian helicopters..
",meter-false
"With the $ 53 billion spent in Ukraine aid  the U.S. “ could pay five SWAT members $ 80000 each . With the $ 53 billion spent in Ukraine aid  the U.S. “ have them at EVERY school front door . ” . 
",meter-true
"Video shows “ Russian desert base . Video shows “ infrastructure hit by Bayraktar TB2 drone . ” . 
",meter-false
"“J.D.Vance profits off Russia propaganda.” .
",meter-true
"Video shows  a “ Russian pilot ” escaping from jets . Video shows  a Russian aircraft getting hit by a missile . .
",meter-false
"Video shows “Russian tank column totally destroyed by attack helicopter.” .
",meter-false
"Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile” .
",meter-false
"“Soldiers destroyed Russian tank with NLAW in ambush.” .
",meter-false
"A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.” .
",meter-false
"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport."".
",meter-false
"“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva..
",meter-false
"“ War F-16. “ War Begins — F-35. “ War MiG-29 NATO intercept. “ War destroy Russia Jets in Polish air space . ” . 
",meter-false
"Photo of unbroken windows proves war in Ukraine is fake..
",meter-false
"Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine..
",meter-false
"A video shows the Russian warship Moskva exploding..
",meter-false
"`` America . `` `` America is trying to overthrow the Ukraine government just as the shadow government has infiltrated . `` `` America overthrown the US government . `` .
",meter-false
"After Russia invaded Ukraine  Google Maps “ opened all military facilities in Russia . ” . After Russia invaded Ukraine  Google Maps “ opened strategic facilities in Russia . ” . 
",meter-false
"Vladimir Putin “ released  35000 children from tunnels . Vladimir Putin “ released  subway in Ukraine . ” . 
",meter-false
"CNN tweeted about “brave children” in Ukraine signing up to fight Russia..
",meter-false
"Ukraine was responsible for the Kramatorsk train station bombing..
",meter-false
"Photo of injured Ukrainian woman was from 2018 Russia gas explosion..
",meter-false
"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?” .
",meter-false
"A video taken from a car driving through Bucha  Ukraine  shows a corpse “ moving his arm “ in the rear view mirror the ‘ corpse ’ sits down . ” . A video taken from a car driving through Bucha  Ukraine  shows a corpse “ moving ” “ in the rear view mirror the ‘ corpse ’ sits down . ” . A video taken from a car driving through Bucha  Ukraine  shows a corpse “ moving then “ in the rear view mirror the ‘ corpse ’ sits down . ” . 
",meter-false
"Will Smith slapped Chris Rock “to take attention away from Ukraine.” .
",meter-false
"The United Nations sent out an email instructing staff not to use the words “ invasion ” war ” when referring to Ukraine . The United Nations sent out an email instructing staff not to use the words “ ’ invasion ” war ” when referring to Ukraine . .
",meter-true
"“The Simpsons” predicted Russia’s invasion of Ukraine..
",meter-false
"CNN tweeted . CNN a picture of a Serbian resort . CNN said it was in Ukraine . .
",meter-false
"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S. .
",meter-false
"“ Ukraine has been shooting residents of Donetsk just. “ Ukraine has been shooting residents of Lugansk just. They wanted to speak Russian . ” . 
",meter-false
"Russian President Vladimir Putin “was assassinated.” .
",meter-false
"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.” .
",meter-false
"“Putin Vows to ‘Crush’ Child Traffickers in Ukraine” .
",meter-false
"`` What is happening here is  not so different from what we 're seeing happening in Russia  where you have got state TV . `` `` What controlled messaging across the board . `` .
",meter-false
"“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine..
",meter-false
"A recent on-air protest can ’ t be real. ``. There are no live on air television broadcasts in Russia. . None.Ever.” .
",meter-false
"A video shows current “leaked footage of heavy war between Russia vs Ukraine” .
",meter-false
"“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.” .
",meter-true
"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.” .
",meter-false
"A Ukrainian combat medic posted of his visit to see wounded soldiers . A Ukrainian combat died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers . .
",meter-false
"This video shows “Russian war in Ukraine.” .
",meter-false
