claim,dateOfPublish
"Indonesia military ready for operation to free NZ pilot, if talks fail, article with image",6:30 PM GMT+5:30
"NEWSMAKER Al Qaeda's new leader Adel has $10 million bounty on his head, article with image",12:29 PM GMT+5:30
"Ukraine war: major developments since Russia's invasion, article with image",10:33 AM GMT+5:30
"Russia declares battlefield gains as Ukraine urges faster military aid, article with gallery",12:19 AM GMT+5:30
"IMF revises Congo's 2022 growth up to 8.5%, rebel conflict a concern, article with image","February 15, 2023"
"Rebels in Indonesia's Papua say images show abducted NZ pilot in good health, article with video","February 15, 2023"
"African artists show support for east Congo conflict at music festival, article with gallery","February 14, 2023"
"Peru's Boluarte vows to crush 'narcoterrorism' after deadly police ambush, article with gallery","February 14, 2023"
"Colombia, ELN rebels resume peace talks in Mexico after ceasefire confusion, article with gallery","February 14, 2023"
"Stand-off with minority Serbs holds back Kosovo 15 years after independence, article with gallery","February 13, 2023"
"Kosovo Albanian-Serb tensions simmer on independence anniversary, article with image","February 13, 2023"
"Philippines' Marcos open to a troop pact with Japan, article with image","February 13, 2023"
"Syria's White Helmets 'answering all calls' to save lives after quake, article with image","February 12, 2023"
"Colombia to establish areas for armed groups as part of peace process, article with image","February 10, 2023"
"Malaysia PM vows to facilitate peace talks in restive southern Thailand, article with gallery","February 9, 2023"
"North Korea shows off largest-ever number of nuclear missiles at nighttime parade, article with video","February 9, 2023"
"Analysis: Earthquake in Syria offers leverage to isolated Assad, article with gallery","February 8, 2023"
"Russia: NATO involvement in Ukraine threatens 'unpredictable' escalation, article with image","February 7, 2023"
"Analysis: Swiss neutrality on the line as arms-for-Ukraine debate heats up, article with gallery","February 7, 2023"
"Colombia unveils four-year development plan worth nearly $250 bln, article with image","February 7, 2023"
"Protect, advance women for a better South Sudan, pope says, article with gallery","February 5, 2023"
"Pope offers 'wings to your hope' to displaced children in South Sudan, article with video","February 4, 2023"
"Pope implores South Sudan's leaders to end bloodshed, recriminations, article with video","February 3, 2023"
"Shun ethnic rivalry and corruption, pope tells African youth, article with video","February 3, 2023"
"Explainer: Why has peace eluded South Sudan?, article with gallery","February 3, 2023"
"Zelenskiy wants tougher Europe, Putin evokes victory over Nazis, article with video","February 3, 2023"
"Explainer: Why U.S. seeks closer security cooperation with the Philippines, article with gallery","February 3, 2023"
"Former Wagner commander says he is sorry for fighting in Ukraine, article with video","February 2, 2023"
"Ukraine's Zelenskiy calls for more EU sanctions on Russia, article with image","February 2, 2023"
"Pope hears harrowing tales of Congo violence and says: 'Enough!', article with video","February 2, 2023"
"'Hands off Africa,' Pope Francis tells rich world, article with video","February 1, 2023"
"Explainer: What is driving the violence in eastern Congo?, article with gallery","February 1, 2023"
"Explainer: Why are there protests in Peru and what comes next?, article with gallery","February 1, 2023"
"Defence chiefs of U.S., S.Korea vow to step up drills to counter North, article with gallery","January 31, 2023"
"Violence in Colombia falls in first month of ceasefire, article with image","January 31, 2023"
"Colombia's attorney general says he will not drop extradition warrants, article with image","January 31, 2023"
"Biden says no F-16s for Ukraine as Russia claims gains, article with video","January 31, 2023"
"Analysis: Israel and Palestinians risk deeper conflict in a distracted world, article with gallery","January 30, 2023"
"Odds 'very high' of U.S. military conflict with China, top Republican says, article with gallery","January 30, 2023"
"Italy's Eni signs $8 billion Libya gas deal as PM Meloni visits Tripoli, article with gallery","January 29, 2023"
"Colombia cocaine seizures break record in 2022, article with image","January 29, 2023"
"Lebanese MPs denounce top prosecutor's moves against judge probing port blast, article with gallery","January 27, 2023"
"Analysis: Lebanese elite bury blast probe, pushing fragile state closer to edge, article with gallery","January 27, 2023"
"Israeli troops kill 7 Palestinian gunmen, 2 civilians in Jenin clash, Palestinians say, article with video","January 27, 2023"
"Colombia must strengthen rule of law, state presence in areas hit by violence -UN, article with gallery","January 26, 2023"
"Migrant wreck off Libya kills eight with scores rescued, Red Crescent says, article with gallery","January 25, 2023"
"South Africa defends planned military drills with Russia and China, article with gallery","January 24, 2023"
"Russia says Ukraine storing arms at nuclear plants, Kyiv denies claim, article with image","January 24, 2023"
"Colombia killings of social leaders hit record in 2022 -ombudsman, article with gallery","January 23, 2023"
"Canada says Cameroon warring parties agree to enter peace process, article with gallery","January 21, 2023"
"Factbox: Iran's Revolutionary Guards: from military operations to business empire, article with image","January 19, 2023"
"New German defence minister says he will strengthen army, help Ukraine, article with image","January 19, 2023"
"Analysis: Hamas sees West Bank as battleground with new Israel gov't, article with gallery","January 18, 2023"
"Analysis: Germany's new defence minister faces pressure on tanks, army upgrade, article with gallery","January 18, 2023"
"Congolese president says M23 rebels have not withdrawn as agreed, article with gallery","January 18, 2023"
"After 30 years, Italy arrests mafia boss Messina Denaro at Sicilian hospital, article with video","January 17, 2023"
"UN envoy encouraged by Yemen truce deal efforts, warns against 'piecemeal approach', article with image","January 16, 2023"
"Rescue hopes fade after Russian attack on Dnipro, article with video","January 16, 2023"
"Analysis: Wagner Group boss courts Putin with Ukrainian battlefield success, article with gallery","January 16, 2023"
"Britain to send 14 of its main battle tanks to Ukraine, article with video","January 15, 2023"
"Syrian foreign minister: No normal ties with Turkey without end to occupation, article with image","January 14, 2023"
"Puma fighting vehicle to return to key NATO mission in first half of 2023 - Berlin, article with gallery","January 14, 2023"
"Assad says Turkey talks must be based on ending 'occupation', article with image","January 13, 2023"
"Peru families mourn protest dead after worst violence in decades, article with video","January 13, 2023"
"Russia appoints top soldier Gerasimov to oversee Ukraine campaign, article with gallery","January 12, 2023"
"Nobel Prize body knew Kissinger's 1973 Vietnam deal unlikely to bring peace, documents show, article with gallery","January 12, 2023"
"Turkish court convicts doctor of terrorism propaganda, releases her from jail-rights groups, article with gallery","January 11, 2023"
"Russia is now fighting NATO in Ukraine, top Putin ally says, article with gallery","January 10, 2023"
"Congo M23 rebels hand back army base amid suspected ceasefire breaches elsewhere, article with gallery","January 7, 2023"
"New U.S. sanctions target supply of Iranian drones to Russia, article with image","January 6, 2023"
"U.N. internal report flags east Congo rebels flouting ceasefire and withdrawal deal, article with gallery","January 6, 2023"
"Emirati FM meets Syria's Assad in Damascus in further sign of thawing ties, article with gallery","January 5, 2023"
"Colombia suspends ceasefire with ELN after rebel group rejects effort, article with gallery","January 4, 2023"
"Syria opposition uneasy after Turkish, Syrian defence ministers meet, article with image","January 4, 2023"
"Russians furious at commanders over Ukrainian rocket strike that killed scores, article with video","January 4, 2023"
"Colombia's ELN rebels say they have not agreed to ceasefire, article with image","January 3, 2023"
"Muscovites mark muted New Year without fireworks, hope for peace, article with gallery","January 1, 2023"
"Russia attacks Ukraine along frontline from north to south, article with video","December 31, 2022"
"Putin expects China's Xi to visit soon, Xi holds his line on Ukraine, article with video","December 31, 2022"
"Putin and Xi to speak by video link on Friday, article with image","December 29, 2022"
"Key architect of Michigan governor kidnapping plot sentenced to over 19 years in prison, article with video","December 28, 2022"
"Ringleader in plot to kidnap Michigan governor sentenced to 16 years in prison, article with video","December 28, 2022"
"Putin says Russia ready to negotiate over Ukraine, Kyiv says Moscow doesn't want talks, article with image","December 26, 2022"
"King Charles' first Christmas message as monarch, article with gallery","December 25, 2022"
"Russian politician files legal challenge over Putin's reference to Ukraine ""war"", article with image","December 23, 2022"
"Putin says Russia wants end to war in Ukraine, article with video","December 23, 2022"
"Exclusive: US says Russia's Wagner Group bought North Korean weapons for Ukraine war, article with image","December 23, 2022"
"Invoking World War Two, Zelenskiy tells Congress aid is not charity, article with video","December 22, 2022"
"Putin says no limit on financial support for Russia's armed forces, article with image","December 21, 2022"
"Palantir lands 75 million pound deal with British military, article with image","December 21, 2022"
"Senator wants review of U.S. security assistance to Nigeria following abortion report, article with gallery","December 20, 2022"
