,Unnamed: 0,claim,truth_value,simple_sentence
0,0,EU accepts depleted uranium shells to Ukraine but threatens new sanctions for the deployment of nuclear weapons to Belarus,meter-false,EU accepts depleted uranium shells to Ukraine. EU threatens new sanctions for the deployment of nuclear weapons to Belarus. 
1,1,Use of depleted uranium shells is a crime against humanity,meter-false,Use of depleted uranium shells is a crime against humanity
2,2,Depleted uranium rounds are 'dirty' nuclear bombs,meter-false,Depleted uranium rounds are 'dirty' nuclear bombs
3,3,UK delivery of depleted uranium tank shells will lead to a nuclear catastrophe,meter-false,UK delivery of depleted uranium tank shells will lead to a nuclear catastrophe
4,4,Rounds with depleted uranium are dirty bombs,meter-false,Rounds with depleted uranium are dirty bombs
5,5,UK deliveries of depleted uranium shells to Ukraine would spell a radioactive disaster,meter-false,UK deliveries of depleted uranium shells to Ukraine would spell a radioactive disaster
6,6,Fascist spirit in Europe behind Ukrainian soldiers burning the Koran,meter-false,Fascist spirit in Europe behind Ukrainian soldiers burning the Koran
7,7,ICC has no competence to issue warrants against citizens of the Russian Federation,meter-false,ICC has no competence to issue warrants against citizens of the Russian Federation
8,8,The EU is turning into an aggressive militarist bloc,meter-false,The EU is turning into an aggressive militarist bloc
9,9,ICC: Putin's arrest warrant is a cheap trick to mess with Moscow,meter-false,ICC: Putin's arrest warrant is a cheap trick to mess with Moscow
10,10,"Nazi Ukrainian soldiers put lard on the Koran, spoke Ukrainian and burned it",meter-false,Nazi Ukrainian soldiers put lard on the Koran. Nazi Ukrainian soldiers spoke Ukrainian. Nazi Ukrainian soldiers burned it. 
11,11,The arrest warrant issued by the ICC - International Criminal Court against Putin poses new challenges to chances for peace,meter-false,The arrest warrant issued by the ICC - International Criminal Court against Putin poses new challenges to chances for peace
12,12,Donbas children not deported to Russia but saved from bombing,meter-false,Donbas children not deported to Russia. Donbas children saved from bombing. 
13,13,Bucha massacre was orchestrated by Ukrainian forces,meter-false,Bucha massacre was orchestrated by Ukrainian forces
14,14,The special military operation is a proxy war between Russia and the West,meter-false,The special military operation is a proxy war between Russia. The special military operation is a proxy war between the West. 
15,15,EU High Representative Josep Borrell turns the EU into a military machine,meter-false,EU High Representative Josep Borrell turns the EU into a military machine
16,16,French studio releases animation series denouncing Zelenskyy's blood thirst,meter-false,French studio releases animation series denouncing Zelenskyy's blood thirst
17,17,Kyiv’s words that Moscow is unwilling to hold talks are a big lie,meter-false,Kyiv’s words that Moscow is unwilling to hold talks are a big lie
18,18,The Zelenskyy regime began a new stage of persecution of Ukrainian Orthodox Church,meter-false,The Zelenskyy regime began a new stage of persecution of Ukrainian Orthodox Church
19,19,Western Ukraine will be safe if it comes under the protection of Poland: Mateusz Morawiecki,meter-false,Western Ukraine will be safe if it comes under the protection of Poland: Mateusz Morawiecki
20,20,Poland continues its gradual seizure of Western Ukraine,meter-false,Poland continues its gradual seizure of Western Ukraine
21,21,The Russian special military operation in Ukraine uncovered US biological laboratories,meter-false,The Russian special military operation in Ukraine uncovered US biological laboratories
22,22,The West supports neo-Nazis in Ukraine,meter-false,The West supports neo-Nazis in Ukraine
23,23,The West demonizes Vladimir Putin and closed the way to negotiations in Ukraine,meter-false,The West demonizes Vladimir Putin. The West closed the way to negotiations in Ukraine. 
24,24,The European Union is not interested in de-escalation in Ukraine,meter-false,The European Union is not interested in de-escalation in Ukraine
