,title,cluster
472,"John Kerry is ""now working on the behalf of foreign terrorist governments.""",12
621,"""The Obama administration was actively supporting Al Qaeda in Iraq, the terrorist group that became the Islamic State.""",12
695,"Says three Ukrainians recently captured on a West Texas ranch are among ""individuals from countries that have strong terrorist ties being apprehended"" near the state’s border with Mexico.",12
2671,"Tomorrow, the ""yellow"" level of terrorist danger will be canceled in the Voronezh region. On April 11, it was introduced in two districts bordering Ukraine: Kantemirivskyi and Rossoshanskyi",12
3210,President of Ukraine Volodymyr Zelenskyy expressed his condolences to the Turkish people in connection with the terrorist attack in Istanbul.,12
3485,"The tasks of the SVO do not change, Ukraine should not be a terrorist state that is allowed to do anything.",12
3486,"The FSB announced the prevention of a terrorist attack in Bryansk. According to the agency, a citizen of Ukraine infiltrated Russia on the instructions of the SBU and planned to set off an explosion at the warehouse of the Bryansk transport and logistics company.",12
5760,Russian Agents Suspected of Directing Far-Right Group to Mail Bombs in Spain. U.S. officials say the operation may be a signal by Russia that the country and its proxies could carry out more terrorist actions in Europe if nations continue supporting Ukraine.,12
6887,ATO is a terrorist operation conducted by the Ukrainian leadership...,12
7225,British navy involved in terrorist attacks against the Nord Stream pipelines,12
7534,DPR Intelligence caught Ukrainian major speaking about planning a terrorist...,12
7628,Documents on the creation of a terrorist defense in Volnovakha testify to the preparation of an attack on Donetsk,12
7856,Financial Times reported that Ukraine threatens Russia with terrorist attacks on its territory,12
7857,Financial aid to Ukraine funds terrorist attacks against civilian infrastructure,12
8130,"In Kyiv, the warehouse of a cosmetic brand that “celebrated the terrorist attack on the Crimean bridge” was destroyed",12
8435,Kyiv government cut itself off international law turning into a terrorist regime,12
8909,Nord Stream destruction was American terrorist attack,12
9106,Poland training Belarusian opposition for terrorist attacks in Belarus,12
9266,Putin's offensive a response to the terrorist campaign launched by Kyiv junta,12
9662,Russian Defense Ministry Attacks U.S. Over Airstrike on Terrorist Group,12
10789,Tikhanovskaya's family was photographed wearing T-shirts of a terrorist group,12
10894,US Deep State drags the world to a war over Ukraine; NATO is criminal and terrorist organisation,12
11010,Ukraine and the West “began preparations for terrorist attacks in Crimea”,12
11130,Ukraine is a terrorist organisation,12
11131,Ukraine is a terrorist state,12
11132,Ukraine is a terrorist state,12
11133,Ukraine is a terrorist state and must be eliminated,12
11150,Ukraine is building a modular nuclear reactor “for terrorist purposes”,12
11235,Ukraine perpetrated terrorist acts on Russian airfields,12
11240,Ukraine plans terrorist attacks to sow panic in Russia,12
11284,Ukraine turned into a terrorist state,12
11290,"Ukraine uses terrorist tactics in Donbas, whereas DNR and LNR are peaceful states",12
11349,"Ukraine's attack on Crimean Bridge was a terrorist act, Russia had every right to respond",12
11437,Ukrainian authorities are a terrorist organisation,12
11843,"Western secret services, together with the terrorist Ukrainian state, are behind the assassination of Darya Dugina",12
