,claim,truth_value
0,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
1,Ukrainians beat two Berlin residents for speaking in russian,meter-false
2,A quote from Paul Goebbels about the Banderites,meter-false
3,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
4,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
5,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
6,The COVID-19 incidence rate became zero in late May 2022,meter-false
7,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
8,Russia’s Army was “destroyed.”,meter-false
9,The war in Ukraine is “all over.”,meter-false
10,“Gas prices are down back to where they were before Russia invaded Ukraine.”,meter-true
11,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.",meter-false
12,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,meter-false
13,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",meter-false
14,“Ukraine has a nuclear bomb primed in Mykolaiv.”,meter-false
15,Video clips show staged war footage from Ukraine.,meter-false
16,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,meter-false
17,North Korea has taken military action against Russia.,meter-false
18,“The Russian army has surrendered in Donetsk!”,meter-false
19,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",meter-false
20,“Chinese military convoy enters Ukraine from Russia.”,meter-false
21,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",meter-false
22,Russia “has not lost anything” in its invasion of Ukraine.,meter-false
23,“The Russian army is withdrawing from Ukraine!” in September 2022,meter-false
24,“US Army in Ukraine.”,meter-false
25,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",meter-false
26,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,meter-false
27,Video shows Ukrainian soldiers shooting down Russian helicopters.,meter-false
28,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",meter-true
29,Video shows “Russian desert base and infrastructure hit by Bayraktar TB2 drone.”,meter-false
30,“J.D. Vance profits off Russia propaganda.”,meter-true
31,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,meter-false
32,Video shows “Russian tank column totally destroyed by attack helicopter.”,meter-false
33,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,meter-false
34,“Soldiers destroyed Russian tank with NLAW in ambush.”,meter-false
35,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,meter-false
36,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",meter-false
37,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,meter-false
38,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",meter-false
39,Photo of unbroken windows proves war in Ukraine is fake.,meter-false
40,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,meter-false
41,A video shows the Russian warship Moskva exploding.,meter-false
42,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",meter-false
43,"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",meter-false
44,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",meter-false
45,CNN tweeted about “brave children” in Ukraine signing up to fight Russia.,meter-false
46,Ukraine was responsible for the Kramatorsk train station bombing.,meter-false
47,Photo of injured Ukrainian woman was from 2018 Russia gas explosion.,meter-false
48,"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”",meter-false
49,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",meter-false
50,Will Smith slapped Chris Rock “to take attention away from Ukraine.”,meter-false
51,The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,meter-true
52,“The Simpsons” predicted Russia’s invasion of Ukraine.,meter-false
53,CNN tweeted a picture of a Serbian resort and said it was in Ukraine.,meter-false
54,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",meter-false
55,“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”,meter-false
56,Russian President Vladimir Putin “was assassinated.”,meter-false
57,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",meter-false
58,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,meter-false
59,"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",meter-false
60,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,meter-false
61,"A recent on-air protest can’t be real because ""there are no live on air television broadcasts in Russia. None. Ever.”",meter-false
62,A video shows current “leaked footage of heavy war between Russia vs Ukraine”,meter-false
63,“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.”,meter-true
64,"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”",meter-false
65,A Ukrainian combat medic who died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers.,meter-false
66,This video shows “Russian war in Ukraine.”,meter-false
67,"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",meter-true
68,"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”",meter-false
69,Video shows Russian President Vladimir Putin meeting with South Korea’s president.,meter-false
70,"""Ukrainian civilian fleeing Kyiv captures footage of downed Russian tie fighter.""",meter-false
71,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,meter-false
72,The war in Ukraine is “scripted and staged.”,meter-false
73,Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”,meter-true
74,Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,meter-false
75,"""The Russian army does not occupy Ukrainian territory.""",meter-false
76,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,meter-false
77,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,meter-false
78,A photo of a wounded young child was captured in Ukraine in 2022.,meter-false
79,"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",meter-false
80,Video shows footage from Russia invading Ukraine.,meter-false
81,TikTok video shows Russian soldiers parachuting into Ukraine.,meter-false
82,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,meter-false
83,"This ""footage"" shows Russia attacking Ukraine.",meter-false
84,"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”",meter-false
85,“Russia has never attacked anyone throughout its history.”,meter-false
86,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",meter-false
87,"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”",meter-false
88,Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son.,meter-false
89,"Says President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”",meter-false
90,"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",meter-false
91,"Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton.""",meter-false
92,"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",meter-false
93,"""The Russians are violating all of the rules, treaties, understandings that they committed to that actually kept the peace in Europe for nearly 70 years.""",meter-true
94,"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",meter-false
95,"""Europe and other nations (need to) contribute to Ukraine. Because they’re not doing it. Just the United States. We’re putting up the bulk of the money.""",meter-false
96,"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination.""",meter-false
97,"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company.",meter-true
98,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",meter-false
99,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",meter-false
100,"""The Russian state has never interfered ... into internal American affairs including election process.""",meter-false
101,"Says Bernie Sanders was indifferent to Russia's annexation of Crimea because he felt ""they have a lot of Russians anyway.""",meter-false
102,"""Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State""",meter-false
103,"""This is not the first time (the Russians) have been involved in our elections.""",meter-true
104,"""The son-in-law of the president met with Russian officials at the Trump Tower after having them come in the back door.""",meter-true
105,"Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile.""",meter-true
106,"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russia’s nuclear arms.""",meter-true
107,"Russia and China are ""doing naval exercises together someplace.""",meter-true
108,"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",meter-true
109,"""We lock up close to 2.4 million people in this country. We're locking up more people than China and Russia.""",meter-true
110,"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal.""",meter-true
111,"""The entirety of North America -- Canada, the United States and Mexico -- there's more known reserves in those three countries than in Russia and Saudi Arabia.""",meter-false
112,"Russia ""has an economy the size of Italy.""",meter-true
113,"In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies.""",meter-true
114,"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""",meter-true
115,"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia.",meter-false
116,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",meter-true
117,"""The Russians didn’t wear uniforms when they came in"" to Ukraine.",meter-true
118,"""Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people.""",meter-true
119,"Crimea was part of Russia ""until 1954, when it was given to the Soviet Republic of the Ukraine.""",meter-true
120,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",meter-false
121,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",meter-true
122,"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""",meter-true
123,Says Romney called Russia our No. 1 enemy.,meter-true
124,"""Obama tells Russia that he'll turn over America's defense system to them if re-elected.""",meter-false
125,"""We're going to have more troops (in Afghanistan) . . . than the Russians had.""",meter-false
126,"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”",meter-false
127,"""Not once in his entire career in Washington, D.C., which started way back in 1991, has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia.""",meter-true
128,"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",meter-false
129,"""I never said Russia did not meddle in the election.""",meter-false
130,"Says Russian President Vladimir Putin said Pope Francis ""is not a man of God.""",meter-false
131,"Says Barack Obama found out about Russia ""in August. Now, the election was in November. That's a lot of time. He did nothing about it.""",meter-false
132,"""If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?""",meter-false
133,"Says the Obama administration invited ""Russia into Syria.""",meter-false
134,"Says American polling shows Russian President Vladimir Putin has ""an 80 percent approval rating.""",meter-true
135,"Photo shows “Russian soldiers with a Ukrainian girl, celebrating their human trophy.”",meter-false
136,"CNN staged a fire in Edmonton, Canada, and claimed it was filmed in Ukraine.",meter-false
137,“Putin bombs Biden-owned villa in Ukraine while hammering biolabs & pedophile rings.”,meter-false
138,"A 2022 CNN report said, “Russia deploys two nuke bombers in US backyard, Venezuela.”",meter-false
139,"""An 8-year-old Ukrainian girl confronts a Russian soldier telling him to go back to his country.”",meter-false
140,“We have doubled our (oil) imports from Russia in the last year.”,meter-false
141,A photo showing young children saluting troops was captured in Ukraine in 2022.,meter-false
142,Actor Steven Seagal spotted among Russian special forces in Ukraine,meter-false
143,A 2022 video shows “Ukrainian and Russian soldiers face to face.”,meter-false
144,A photo shows a Russian warplane under attack.,meter-false
145,"“Durham’s documents show that Hillary Clinton hired people who hacked into Trump’s home and office computers” and “planted evidence, fabricated evidence connecting Trump to Russia.”",meter-false
146,“Biden invested the entire family fortune in Ukraine gas and oil. Then shuts down Keystone pipeline. Starting to get the picture.”,meter-false
147,"Says the sons of Nancy Pelosi, Mitt Romney and John Kerry are all on the boards of ""energy companies doing business in Ukraine.""",meter-false
148,"Says Nancy Pelosi’s ""legislative aide … is from the Ukraine and is connected to the Ukrainian Embassy, the Ukrainian military, the Ukrainian government and Ukrainian party life""",meter-false
149,"Says the Steele dossier ""was responsible for starting"" Special Counsel Robert Mueller’s investigation into links between the Trump campaign and Russia.",meter-false
150,"Say President Donald Trump ""dictated a short but accurate response to the New York Times article"" about the Trump Tower meeting with Russians.",meter-false
151,"Russian natural gas company ""Gazprom held Europe by the throat -- they were a monopoly, and now the U.S. is breaking into that monopoly with our exports of (liquefied natural gas).""",meter-true
152,"""We know this now. The banks no longer loan (Donald Trump) money because he's a terrible risk. So he goes to these (Russian) oligarchs and borrows money.""",meter-false
153,"""In the last couple of days, notices were sent (by officials in Ukraine) to Jews in one city indicating that they had to identify themselves as Jews.""",meter-false
154,Ukraine adopted “laws banning the Russian language.”,meter-false
155,"""Ukraine blatantly interfered in our election.""",meter-false
156,"""I can say that the people that have been hired (for the independent Russia investigation) are all Hillary Clinton supporters, some of them worked for Hillary Clinton.""",meter-false
157,"""Texas has a higher incarceration rate than Russia or Iran.""",meter-true
158,"Compared to President Obama, ""President Reagan rushed home from Santa Barbara vacation, from the Reagan ranch when the Korean jetliner was shot out of the air by the Russians.""",meter-false
159,“Biden threatens to assassinate Ukraine president.”,meter-false
