,claim
998,A “default on our debt” would be unprecedented in American history.
1034,“Tim Ryan when he ran for president two years ago … supported banning fracking both on public lands and generally speaking.”
1037,"“Iowans are paying $5,000 extra for everyday goods under Biden and Axne’s inflation.”"
1039,“I voted with Trump on trade.”
1068,"""Karrin Taylor Robson gave illegals tuition discounts and made us pay for it."""
1071,"""Thanks to failed Dem policies, beer is 9.1% more expensive."""
1083,“In every other major industrial country in the world … inflation is higher.”
1086,"Blake Masters “unironically quoted a Nazi, called World War II an unjust war, called the Unabomber one of his intellectual influencers, and shared an article attacking Israel as the North Korea of the Middle East.”"
1089,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”"
1090,"“Zack Nunn saved over 2,000 Americans abandoned in Afghanistan by leading private rescue missions.”"
1092,“J.D. Vance profits off Russia propaganda.”
1105,Joe Biden “inherited inflation of 1.7%. Now we're well over 8% and growing.”
1121,“J.D. Vance called for higher taxes.”
1125,"Joe Biden's spending “has sent prices skyrocketing."""
1135,"""The price of insulin has been jacked up by Big Drug Corporations.”"
1141,"“Gas prices have been going up since the president’s first day in office, starting with his move to shut down the Keystone XL pipeline.”"
1147,The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.
1153,Judge Ketanji Brown Jackson called former President George W. Bush and former Defense Secretary Donald Rumsfeld as “war criminals in a legal filing.”
1168,“Make no mistake: The current spike in gas prices is largely the fault of Vladimir Putin.”
1169,“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.”
1176,"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”"
1185,Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”
1198,"Photos show “Ukrainian Christians pray outdoors, in the snow, for their country in this phase of war danger.”"
1206,"""One in 13 Black Americans are deprived of the right to vote."""
1209,"“In Texas, because of the laws they passed, a 95-year-old World War II veteran is being denied the right to vote by mail because he can't produce a registration number he got back in the 1950s.”"
1210,"Joe Biden's “$4 trillion” Build Back Better bill is ""the largest expansion of welfare programs in 60 years."""
1236,“We’ve created more jobs in the first eight months of my administration than any president in American history — total number of jobs created.”
1238,"""The vast majority of the (refugees) coming into Fort McCoy are not the SIVs"" and some have ""no documentation at all."""
1239,"""Thirty years ago, the United States ranked sixth among advanced economies in the share of women in the workforce. You know where we are today? Twenty-three.”"
1241,Says the U.S. National Archives put a ‘harmful content’ warning on our nation’s Founding documents.
1242,“The NAACP wants” the Confederate Memorial Carving “sandblasted off Stone Mountain.”
1244,"Says Joe Biden said: “If Haiti just quietly sunk into the Caribbean, or rose up 300 feet, it wouldn’t matter a whole lot in terms of our interests.”"
1245,“President Biden has created more jobs in his first 7 months than any POTUS in history.”
1246,The United States spent “2 trillion dollars to train and equip the Afghan military over the past 20 years. They fell in a week.”
1254,There has been “no question of our credibility from our allies around the world” regarding how the U.S. is withdrawing from Afghanistan.
1262,"The man next to Mike Pompeo in a November 2020 photo “is the guy the Trump administration helped get out of jail in 2018 and who is now the 'president' of Afghanistan."""
1263,"Donald Trump in 2020 ""said he trusted the Taliban and then set in motion an even earlier exit"" from Afghanistan."
1264,“George Washington mandated smallpox vaccines for the Continental Army.”
1267,"“We have now created over 3 million jobs since I took office, more jobs than have ever been created in the first five months of any presidency in modern history.”"
1270,“The national debt is now bigger than our economy. That hasn’t happened since World War Two – and we’re in peacetime. Joe Biden is digging a hole America can never fill.”
1277,The New York Times published an old stock photo of a young girl and claimed Israeli forces killed her during its recent war with Hamas.
1291,“People don’t pretend to be someone else to go in and vote. You just don’t see that kind of fraud.”
1294,"In Aberdeen, Miss., “Massive 78% of mail-in ballots proved fraudulent, judge orders election do-over.”"
1304,Says that the oil and gas industry comprises 35% of the Texas economy.
1305,The COVID-19 pandemic has caused four of the eight “deadliest days in American history.”
1318,"Image quotes Sen. Ted Cruz as saying, “In the last election, 54 million evangelical Christians stayed home. If Christians will simply show up and vote our values, we’ll turn this country around.”"
1321,Says President Donald Trump started a trade war that “led to a surge in farm bankruptcies.”
1322,Says Joe Biden “disrespects servicemen” in telling them to “clap for that you stupid bastards.”
1325,Says Donald Trump funded a Veterans Day parade 26 years ago in New York City after the city refused to pay.
1327,Says Donald Trump “let federal contractors double offshoring jobs in his first 18 months in office.”
1331,"Says Joe Biden “voted for the Iraq War … He supported war in Serbia, Syria, Libya.”"
1345,“Alexandria Ocasio-Cortez votes with President Trump more than Abigail Spanberger does.”
1346,Says Joe Biden has said 150 million Americans died from guns and another 120 million from COVID-19
1349,"""Three hundred sixty thousand Pennsylvanians fought on the side of the Union to defeat the flag, that Confederate flag, including more Black soldiers coming from Pennsylvania than any other state in the nation."""
1355,“Trump lost a trade war that he started.”
