claim,truth_value,topic,year_of_publish
Russia’s Army was “destroyed.”,meter-false,war,2022
The war in Ukraine is “all over.”,meter-false,war,2022
“Gas prices are down back to where they were before Russia invaded Ukraine.”,meter-true,war,2022
"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.",meter-false,war,2022
U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,meter-false,war,2022
"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",tom_ruling_pof,war,2022
“Ukraine has a nuclear bomb primed in Mykolaiv.”,meter-false,war,2022
Video clips show staged war footage from Ukraine.,tom_ruling_pof,war,2022
A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,meter-false,war,2022
North Korea has taken military action against Russia.,tom_ruling_pof,war,2022
“The Russian army has surrendered in Donetsk!”,meter-false,war,2022
"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",meter-false,war,2022
“Chinese military convoy enters Ukraine from Russia.”,meter-false,war,2022
"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",tom_ruling_pof,war,2022
Russia “has not lost anything” in its invasion of Ukraine.,meter-false,war,2022
“The Russian army is withdrawing from Ukraine!” in September 2022,meter-false,war,2022
“US Army in Ukraine.”,meter-false,war,2022
"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",meter-mostly-false,war,2022
Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,meter-false,war,2022
Video shows Ukrainian soldiers shooting down Russian helicopters.,meter-false,war,2022
"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",meter-half-true,war,2022
Video shows “Russian desert base and infrastructure hit by Bayraktar TB2 drone.”,meter-false,war,2022
“J.D. Vance profits off Russia propaganda.”,meter-half-true,war,2022
Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,meter-false,war,2022
Video shows “Russian tank column totally destroyed by attack helicopter.”,meter-false,war,2022
Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,meter-false,war,2022
“Soldiers destroyed Russian tank with NLAW in ambush.”,meter-false,war,2022
A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,meter-false,war,2022
"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",meter-false,war,2022
“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,meter-false,war,2022
"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",meter-false,war,2022
Photo of unbroken windows proves war in Ukraine is fake.,tom_ruling_pof,war,2022
Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,tom_ruling_pof,war,2022
A video shows the Russian warship Moskva exploding.,meter-false,war,2022
"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",meter-false,war,2022
"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",meter-false,war,2022
"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",tom_ruling_pof,war,2022
CNN tweeted about “brave children” in Ukraine signing up to fight Russia.,tom_ruling_pof,war,2022
Ukraine was responsible for the Kramatorsk train station bombing.,meter-false,war,2022
Photo of injured Ukrainian woman was from 2018 Russia gas explosion.,meter-false,war,2022
"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”",meter-false,war,2022
"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",meter-false,war,2022
Will Smith slapped Chris Rock “to take attention away from Ukraine.”,meter-false,war,2022
The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,meter-half-true,war,2022
“The Simpsons” predicted Russia’s invasion of Ukraine.,meter-false,war,2022
CNN tweeted a picture of a Serbian resort and said it was in Ukraine.,meter-false,war,2022
"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",tom_ruling_pof,war,2022
“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”,meter-false,war,2022
Russian President Vladimir Putin “was assassinated.”,tom_ruling_pof,war,2022
"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",meter-false,war,2022
“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,meter-false,war,2022
"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",tom_ruling_pof,war,2022
“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,meter-false,war,2022
"A recent on-air protest can’t be real because ""there are no live on air television broadcasts in Russia. None. Ever.”",meter-false,war,2022
A video shows current “leaked footage of heavy war between Russia vs Ukraine”,meter-false,war,2022
“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.”,meter-half-true,war,2022
"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”",meter-false,war,2022
A Ukrainian combat medic who died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers.,meter-false,war,2022
This video shows “Russian war in Ukraine.”,meter-false,war,2022
"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",meter-mostly-true,war,2022
"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”",meter-false,war,2022
Video shows Russian President Vladimir Putin meeting with South Korea’s president.,meter-false,war,2022
"""Ukrainian civilian fleeing Kyiv captures footage of downed Russian tie fighter.""",meter-false,war,2022
A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,meter-false,war,2022
The war in Ukraine is “scripted and staged.”,tom_ruling_pof,war,2022
Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”,meter-half-true,war,2022
Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,meter-false,war,2022
"""The Russian army does not occupy Ukrainian territory.""",tom_ruling_pof,war,2022
Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,meter-false,war,2022
Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,meter-false,war,2022
A photo of a wounded young child was captured in Ukraine in 2022.,meter-false,war,2022
"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",meter-mostly-false,war,2022
Video shows footage from Russia invading Ukraine.,meter-false,war,2022
TikTok video shows Russian soldiers parachuting into Ukraine.,meter-false,war,2022
Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,meter-false,war,2022
"This ""footage"" shows Russia attacking Ukraine.",meter-false,war,2022
"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”",meter-false,war,2022
“Russia has never attacked anyone throughout its history.”,tom_ruling_pof,war,2022
"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",tom_ruling_pof,war,2022
"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”",meter-false,war,2021
Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son.,meter-false,war,2020
"Says President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”",tom_ruling_pof,war,2020
"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",meter-false,war,2019
"Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton.""",meter-false,war,2019
"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",tom_ruling_pof,war,2019
"""The Russians are violating all of the rules, treaties, understandings that they committed to that actually kept the peace in Europe for nearly 70 years.""",meter-mostly-true,war,2019
"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",meter-mostly-false,war,2019
"""Europe and other nations (need to) contribute to Ukraine. Because they’re not doing it. Just the United States. We’re putting up the bulk of the money.""",meter-mostly-false,war,2019
"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination.""",meter-mostly-false,war,2019
"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company.",meter-half-true,war,2019
"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",tom_ruling_pof,war,2019
"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",meter-false,war,2018
"""The Russian state has never interfered ... into internal American affairs including election process.""",tom_ruling_pof,war,2018
"Says Bernie Sanders was indifferent to Russia's annexation of Crimea because he felt ""they have a lot of Russians anyway.""",meter-false,war,2018
"""Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State""",tom_ruling_pof,war,2018
"""This is not the first time (the Russians) have been involved in our elections.""",meter-half-true,war,2017
"""The son-in-law of the president met with Russian officials at the Trump Tower after having them come in the back door.""",meter-mostly-true,war,2017
"Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile.""",meter-half-true,war,2016
"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russia’s nuclear arms.""",meter-half-true,war,2016
"Russia and China are ""doing naval exercises together someplace.""",meter-mostly-true,war,2016
"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",meter-mostly-true,war,2016
"""We lock up close to 2.4 million people in this country. We're locking up more people than China and Russia.""",meter-mostly-true,war,2015
"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal.""",meter-mostly-true,war,2015
"""The entirety of North America -- Canada, the United States and Mexico -- there's more known reserves in those three countries than in Russia and Saudi Arabia.""",meter-mostly-false,war,2015
"Russia ""has an economy the size of Italy.""",meter-mostly-true,war,2014
"In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies.""",meter-half-true,war,2014
"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""",meter-half-true,war,2014
"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia.",meter-mostly-false,war,2014
"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",meter-half-true,war,2014
"""The Russians didn’t wear uniforms when they came in"" to Ukraine.",meter-mostly-true,war,2014
"""Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people.""",meter-true,war,2014
"Crimea was part of Russia ""until 1954, when it was given to the Soviet Republic of the Ukraine.""",meter-true,war,2014
"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",meter-mostly-false,war,2013
"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",meter-half-true,war,2012
"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""",meter-half-true,war,2012
Says Romney called Russia our No. 1 enemy.,meter-mostly-true,war,2012
"""Obama tells Russia that he'll turn over America's defense system to them if re-elected.""",tom_ruling_pof,war,2012
"""We're going to have more troops (in Afghanistan) . . . than the Russians had.""",meter-mostly-false,war,2009
"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",tom_ruling_pof,syria,2022
"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”",meter-mostly-false,syria,2022
A photo of a wounded young child was captured in Ukraine in 2022.,meter-false,syria,2022
"""Not once in his entire career in Washington, D.C., which started way back in 1991, has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia.""",meter-half-true,syria,2020
"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",meter-false,syria,2018
"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",meter-mostly-false,syria,2018
"""I never said Russia did not meddle in the election.""",tom_ruling_pof,syria,2018
"Says Russian President Vladimir Putin said Pope Francis ""is not a man of God.""",tom_ruling_pof,syria,2017
"Says Barack Obama found out about Russia ""in August. Now, the election was in November. That's a lot of time. He did nothing about it.""",meter-mostly-false,syria,2017
"""If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?""",tom_ruling_pof,syria,2016
"Says the Obama administration invited ""Russia into Syria.""",meter-mostly-false,syria,2015
"Says American polling shows Russian President Vladimir Putin has ""an 80 percent approval rating.""",meter-true,syria,2015
"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""",meter-half-true,syria,2014
"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",meter-half-true,syria,2014
"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",meter-mostly-false,syria,2013
"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",meter-half-true,syria,2012
"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""",meter-half-true,syria,2012
Says Romney called Russia our No. 1 enemy.,meter-mostly-true,syria,2012
The war in Ukraine is “all over.”,meter-false,conflict,2022
U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,meter-false,conflict,2022
"Photo shows “Russian soldiers with a Ukrainian girl, celebrating their human trophy.”",meter-false,conflict,2022
“The Russian army has surrendered in Donetsk!”,meter-false,conflict,2022
"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",meter-false,conflict,2022
“The Russian army is withdrawing from Ukraine!” in September 2022,meter-false,conflict,2022
