id,claim,truth_value,title,stated_on
0,"Italian former Premier Silvio Berlusconi has once again put himself at odds with current Premier Giorgia Meloni by openly criticizing her for meeting with Ukraine’s leader, whom he blamed for the nearly year-old Russian invasion",meter-true,"Berlusconi blames Ukraine war on Zelenskyy, chafes Meloni","February 13, 2023 at 10:38 PM GMT+5:30"
1,"Former Premier Silvio Berlusconi has once again put himself at odds with Premier Giorgia Meloni by openly criticizing her for meeting with Ukraine’s leader, whom he blamed for the year-old Russian invasion",meter-true,"Berlusconi blames Ukraine war on Zelenskyy, chafes Meloni","February 13, 2023 at 6:12 PM GMT+5:30"
2,The small coal-mining town of Vuhledar on Ukraine’s eastern front line has emerged as a critical hot spot in the fight for Donetsk province,meter-true,Hilltop coal-mining town a tactical prize in Ukraine war,"February 11, 2023 at 9:31 PM GMT+5:30"
3,"Amid inflation, power-grid cuts and other pressures applied by Russia and spilling over from the war in Ukraine, Moldova’s government resigned Friday.",meter-true,Ukraine live briefing: Moldovan premier resigns amid Ukraine war pressures,"February 11, 2023 at 8:08 AM GMT+5:30"
4,President Joe Biden will travel to Poland later this month to rally allies a year after Russia’s assault on Ukraine began,meter-true,Biden to visit Poland for anniversary of Ukraine war,"February 11, 2023 at 2:38 AM GMT+5:30"
5,Fierce battles in eastern Ukraine have thrown a new spotlight on a private Russian military group led by a rogue millionaire with longtime links to Russia’s President Vladimir Putin,meter-true,Brutality of Russia's Wagner gives it lead in Ukraine war,"January 28, 2023 at 2:20 AM GMT+5:30"
6,Efforts to build Kyiv military capacity are both about the current fight and what comes after,meter-true,Opinion | Blinken ponders the post-Ukraine-war order ,"January 25, 2023 at 4:18 AM GMT+5:30"
7,U.S. troops will teach Ukrainian forces how to use the Patriot missile defense system at Fort Sill. The training could start as soon as next week.,meter-true,"U.S. involvement in Ukraine war deepens, with troops to train in Oklahoma","January 10, 2023 at 9:32 PM GMT+5:30"
8,"The Russian private mercenary group now has 40,000 convicts in battle, taken directly from Russian prisons, U.S. officials say.",meter-true,Wagner mercenaries buy North Korean missiles for use in Ukraine war,"December 22, 2022 at 11:45 PM GMT+5:30"
9,Russian President Vladimir Putin said there was no need to mobilize more soldiers now.,meter-true,Putin says Ukraine war may be ‘long process’ but cites ‘serious’ gains,"December 08, 2022 at 6:27 PM GMT+5:30"
10,Snubs in recent months from Kazakhstan to Tajikistan mark a regional realignment that will only sharpen as sanctions and isolation erode Russia's economic power. ,meter-true,Setbacks in Ukraine war diminish Russia’s clout with regional allies ,"November 30, 2022 at 11:30 AM GMT+5:30"
11,Abandoned pets roam the streets of ruined front-line towns and villages.,meter-true,Opinion | I’ve seen the unannounced casualties of the Ukraine war,"November 24, 2022 at 6:00 PM GMT+5:30"
12,Moscow and Tehran have agreed on a plan to assemble Iranian-designed weapons on Russian soil.,meter-true,"Iran will help Russia build drones for Ukraine war, Western officials say","November 19, 2022 at 10:04 PM GMT+5:30"
13,"Since Vladimir Putin’s invasion of Ukraine, a torrent of Russians have arrived in Dubai — seeking refuge from military mobilization and international sanctions.",meter-true,"In the UAE, Russians fleeing Ukraine war seek success in ‘Dubaisk’","November 17, 2022 at 2:30 PM GMT+5:30"
