,claim
0,"In Ukraine, the theft and homicide levels rose due to power outages"
1,Ukrainians beat two Berlin residents for speaking in russian
2,A quote from Paul Goebbels about the Banderites
3,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change
4,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia
5,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv"
6,The COVID-19 incidence rate became zero in late May 2022
7,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS"
8,Russia’s Army was “destroyed.”
9,The war in Ukraine is “all over.”
11,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine."
12,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.
13,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children."""
14,“Ukraine has a nuclear bomb primed in Mykolaiv.”
15,Video clips show staged war footage from Ukraine.
16,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”
17,North Korea has taken military action against Russia.
18,“The Russian army has surrendered in Donetsk!”
19,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”"
20,“Chinese military convoy enters Ukraine from Russia.”
21,"""Russia is becoming the first country to break ties with the Antarctic Treaty."""
22,Russia “has not lost anything” in its invasion of Ukraine.
23,“The Russian army is withdrawing from Ukraine!” in September 2022
24,“US Army in Ukraine.”
25,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops."
26,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.
27,Video shows Ukrainian soldiers shooting down Russian helicopters.
29,Video shows “Russian desert base and infrastructure hit by Bayraktar TB2 drone.”
31,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.
32,Video shows “Russian tank column totally destroyed by attack helicopter.”
33,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”
34,“Soldiers destroyed Russian tank with NLAW in ambush.”
35,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”
36,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport."""
37,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.
38,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”"
39,Photo of unbroken windows proves war in Ukraine is fake.
40,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.
41,A video shows the Russian warship Moskva exploding.
42,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government."""
43,"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”"
44,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”"
45,CNN tweeted about “brave children” in Ukraine signing up to fight Russia.
46,Ukraine was responsible for the Kramatorsk train station bombing.
47,Photo of injured Ukrainian woman was from 2018 Russia gas explosion.
48,"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”"
49,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”"
50,Will Smith slapped Chris Rock “to take attention away from Ukraine.”
52,“The Simpsons” predicted Russia’s invasion of Ukraine.
53,CNN tweeted a picture of a Serbian resort and said it was in Ukraine.
54,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S."
